date,open,high,low,close,adj_close,volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,152.5056915283203,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,150.60671997070312,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,150.99603271484375,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,149.61932373046875,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,152.00250244140625,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,153.90145874023438,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,153.1892852783203,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,155.03126525878906,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,153.9394073486328,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,154.93638610839844,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,157.7753143310547,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,158.6583251953125,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,158.088623046875,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,157.32901000976562,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,158.29754638671875,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,156.702392578125,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,154.08180236816406,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,157.10116577148438,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,159.55084228515625,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,164.05137634277344,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,161.6302032470703,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,165.570556640625,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,171.02059936523438,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,170.81167602539062,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,174.35325622558594,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,174.6001434326172,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,179.16709899902344,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,175.12232971191406,53159900
