date,open,high,low,close,volume
2020-01-02,22.4,22.4,22.25,22.35,13304479
2020-01-03,22.35,22.45,22.3,22.45,17305776
2020-01-06,22.45,22.45,22.15,22.25,25122532
2020-01-07,22.25,22.4,22.2,22.35,23433012
2020-01-08,22.25,22.25,22.1,22.25,34392341
2020-01-09,22.25,22.35,22.2,22.3,23072240
2020-01-10,22.3,22.4,22.15,22.25,24460745
2020-01-13,22.35,22.5,22.2,22.5,26002400
2020-01-14,22.5,22.6,22.45,22.6,35947690
2020-01-15,22.7,22.75,22.5,22.7,33337659
2020-01-16,22.65,22.7,22.5,22.6,22443307
2020-01-17,22.65,22.65,22.45,22.6,17771153
2020-01-20,22.6,22.9,22.6,22.9,32131541
2020-01-30,22.55,22.55,22.0,22.0,105917554
2020-01-31,22.0,22.25,21.95,22.05,56609172
2020-02-03,21.6,21.95,21.5,21.95,41522634
2020-02-04,21.9,22.3,21.9,22.3,43992077
2020-02-05,22.2,22.4,22.1,22.4,27399395
2020-02-06,22.4,22.5,22.35,22.5,23983939
2020-02-07,22.4,22.5,22.35,22.5,31906792
2020-02-10,22.4,22.5,22.35,22.5,29232982
2020-02-11,22.5,22.55,22.4,22.55,19638667
2020-02-12,22.5,22.75,22.5,22.65,36229145
2020-02-13,22.65,22.8,22.6,22.8,24941107
2020-02-14,22.75,22.85,22.75,22.8,14428746
2020-02-17,22.8,22.95,22.7,22.95,45878889
2020-02-18,22.95,23.1,22.85,23.1,44621770
2020-02-19,23.2,23.3,23.0,23.3,37229590
2020-02-20,23.3,23.45,23.25,23.45,44025624
2020-02-21,23.35,23.45,23.1,23.2,28376526
2020-02-24,23.0,23.0,22.7,22.85,35463325
2020-02-25,22.65,22.8,22.6,22.8,30031348
2020-02-26,22.55,22.8,22.55,22.8,42043614
2020-02-27,22.7,22.8,22.55,22.7,46866541
2020-03-02,22.1,22.45,22.0,22.25,61067923
2020-03-03,22.35,22.65,22.35,22.55,48984294
2020-03-04,22.45,22.6,22.4,22.55,37172030
2020-03-05,22.7,22.85,22.55,22.85,38086159
2020-03-06,22.75,22.8,22.3,22.4,48583007
2020-03-09,22.0,22.1,21.75,21.8,85760208
2020-03-10,21.5,21.7,21.4,21.55,84712457
2020-03-11,21.5,21.6,21.3,21.35,87372906
2020-03-12,21.05,21.05,20.4,20.5,88864211
2020-03-13,19.0,19.8,18.6,19.65,169063828
2020-03-16,19.5,19.5,19.0,19.05,104731939
2020-03-17,18.45,18.75,18.3,18.35,113863406
2020-03-18,18.25,18.3,17.9,17.95,90387788
2020-03-19,17.5,17.55,16.3,16.3,120667927
2020-03-20,16.55,17.4,16.55,17.1,133394613
2020-03-23,16.35,16.45,16.05,16.15,108187738
2020-03-24,16.75,17.05,16.6,16.6,82306075
2020-03-25,17.3,17.8,17.3,17.5,81773053
2020-03-26,17.55,17.7,17.05,17.3,59751163
2020-03-27,17.8,17.95,17.65,17.9,74791081
2020-03-30,17.5,18.15,17.35,17.9,54418539
2020-03-31,18.15,18.3,17.7,17.9,55664105
